Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$10.99,7461240,,HarperCollins Publishers,224
Blood Meridian,Cormac McCarthy,eBook,,$9.01,307762521,,Knopf Doubleday Publishing Group,
Star Trek,Diane Duane,eBook,,$5.99,743422279,,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,eBook,,$15.99,241290007,,Penguin Books Ltd,256
book not found,,,,,,,,
Across the Seas,Griff Hosker,eBook,,$9.19,463983092,,Griff Hosker,
American Royals,Katharine McGee,eBook,,$9.99,241365988,,Penguin Random House Children's UK,368
Battle of Okinawa,George Feifer,eBook,,,1322117179,,Lyons Press,531
Homage to Catalonia,George Orwell,eBook,,$15.99,141911719,,Penguin Books Ltd,272
The Twits,Roald Dahl,eBook,,$9.99,141930160,,Penguin Random House Children's UK,112
"Red, White & Royal Blue",Casey McQuiston,eBook,,$14.29,1250316782,,St. Martin's Publishing Group,
The Great Hunt,Robert Jordan,eBook,,$11.99,748115358,,"Little, Brown Book Group",736
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,eBook,,$9.99,141342439,,Penguin Random House Children's UK,528
Boy,Roald Dahl,eBook,,$15.99,141903120,,Penguin Random House Children's UK,192
Angels,Marian Keyes,eBook,,$15.99,141928689,,Penguin Books Ltd,496
The Lost (Paula Maguire 1),Claire McGowan,eBook,,$11.99,755386396,,Headline,305
book not found,,,,,,,,
Anxiety,Joshua Fletcher,eBook,,$44.99,1310517223,,Joshua Fletcher,
George Washington's Secret Six,Brian Kilmeade,eBook,$23.99,$19.99,698137655,,Penguin Publishing Group,288
Driving Over Lemons,Chris Stewart,eBook,,,956308643,,Sort Of Books,304
Jamie's Food Tube,Gennaro Contaldo,eBook,,$14.99,1405921102,,Penguin Books Ltd,128
The Name of the Wind,Patrick Rothfuss,eBook,,$12.99,575087056,,Orion,672
Darkfever,Karen Marie Moning,eBook,$14.66,$11.99,044033635X,,Random House Publishing Group,
Kiss,Jill Mansell,Paperback,$26.99,$39.99,755332555,,Headline,512
Business Model Generation,Alexander Osterwalder,eText,,$45.09,470901039,,Wiley Professional Development (P&T),288
The Wrath and the Dawn,Ren�e| Ahdieh,eBook,,,698185897,,,416
The Night Stalker,Chris Carter,eBook,,$12.99,857202995,,Simon & Schuster UK,464
The Jury Master,Robert Dugoni,eBook,,$17.99,446539651,,Grand Central Publishing,300
"The Dragon's Mountain, Book One",Mark Mulle,eBook,,,1310869685,,Mark Mulle,
The Book of Why,Judea Pearl,eBook,,$16.99,241242649,,Penguin Books Ltd,400
Blow Fly,Patricia Cornwell,eBook,,$11.99,748109269,,"Little, Brown Book Group",544
The Sapphire Widow,Dinah Jefferies,eBook,,$15.99,241980755,,Penguin Books Ltd,400
Aftermath,Peter Robinson,eBook,,,330469363,,,
Couples That Work,Jennifer Petriglieri,eBook,,$18.99,241379016,,Penguin Books Ltd,304
Time of Contempt,Andrzej Sapkowski,eBook,,$12.99,575088435,,Orion,320
Typhoon Fury,Clive Cussler,eBook,,$15.99,1405927690,,Penguin Books Ltd,480
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,,$12.99,755350847,,Headline,448
The Divine Comedy,Dante Alighieri,eBook,$25.70,$20.99,1101117990,,Penguin Publishing Group,928
A Maiden's Grave,Jeffery Deaver,eBook,$8.55,$7.99,1101209356,,Penguin Publishing Group,
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,eBook,,$11.99,755373979,,Headline,451
The Snow Child,Eowyn Ivey,eBook,,$12.99,075538055X,,Headline,318
The Hunger Games (USA Edition),Suzanne Collins,Hardcover,,$44.90,439023483,,Scholastic US,384
Made Things,Adrian Tchaikovsky,eBook,$6.22,$12.99,1250232988,,Tor Publishing Group,
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,eBook,,$21.99,141926902,,Penguin Random House Children's UK,288
Conversations with Friends,Sally Rooney,eBook,$16.49,$39.99,571333141,,Faber & Faber,272
Strata,Terry Pratchett,eBook,,$14.99,1407035533,,Transworld,288
Misbehaving,Richard H. Thaler,eBook,,$16.99,141966157,,Penguin Books Ltd,256
book not found,,,,,,,,
Surrender Experiment,Michael A Singer,eBook,,,804141118,,Potter/Tenspeed/Harmony,
